0,1,2,3,4,5,6,7,8,9,10
C0042133,Succinic acid,coenzyme Q10,NADH,GINSENG,orlistat,Pseudoephedrine,Dalbavancin,Vitamin C,pirfenidone,L-Isoleucine
C0009324,glucosamine,minocycline,fostamatinib,mesalazine,zinc,Polaprezinc,aspirin,hyaluronidase (ovine),nintedanib,regorafenib
C0234974,meclofenamic-acid,,orlistat,,,fluconazole,itraconazole,sonidegib,vismodegib,efinaconazole
C0022638,Adenosine monophosphate,,L-Isoleucine,,,NADH,orlistat,metformin,Biotin,meclofenamic-acid
C0004364,zinc,Muromonab-CD3,Etanercept,trastuzumab,Abciximab,Adalimumab,Cetuximab,Gemtuzumab ozogamicin,Natalizumab,Rituximab
C1527311,NADH,,L-Citrulline,,L-Arginine,coenzyme Q10,L-Aspartic Acid,pomalidomide,L-Isoleucine,
C0334579,amoxicillin,ceftriaxone,cefadroxil,ibuprofen,cefotaxime,Benzoic Acid,ampicillin,Oxacillin,benzylpenicillin,penicillin-v-potassium
C0018995,Thalidomide,Iron,,pirfenidone,Oxycodone,Certolizumab pegol,glucosamine,golimumab,Infliximab,chloroquine
C0031485,sapropterin,L-Phenylalanine,droxidopa,epinephrine,telotristat ethyl,,pyridoxine,Pyridoxal Phosphate,metirosine,norepinephrine
C0007137,zinc,Arsenic trioxide,iloprost,Rituximab,Tositumomab,Ibritumomab tiuxetan,laropiprant,fostamatinib,bimatoprost,epoprostenol
C4048328,palifermin,lenvatinib,nintedanib,pazopanib,ponatinib,Heparin,regorafenib,fostamatinib,Thalidomide,sunitinib
C0398650,Ibritumomab tiuxetan,Tositumomab,Rituximab,ofatumumab,obinutuzumab,ocrelizumab,cladribine,aspirin,fostamatinib,tamoxifen
C0948089,colchicine,ixabepilone,vinorelbine,paclitaxel,Polaprezinc,zinc,glucosamine,,Etanercept,podophyllotoxin
C0021655,zinc,isoprenaline,NADH,aspirin,fostamatinib,Mecasermin,Estrone,podophyllotoxin,Necitumumab,Pseudoephedrine
C0014836,tocofersolan,hycanthone,Fentanyl,dextromethorphan,celecoxib,cyclophosphamide,ifosfamide,Isoniazid,deferasirox,tolperisone
C0699791,palifermin,lenvatinib,nintedanib,ponatinib,Thalidomide,regorafenib,Heparin,copanlisib,idelalisib,trastuzumab
C0006413,ponatinib,regorafenib,imatinib,sorafenib,Biotin,isoprenaline,sunitinib,cabozantinib,decitabine,pomalidomide
C0029396,pentostatin,ribavirin,mycophenolic-acid,mycophenolate-mofetil,thioguanine,floxuridine,,capecitabine,,leucovorin
C0271623,goserelin-acetate,Buserelin,gestrinone,danazol,gonadorelin,ganirelix,triptorelin,Histrelin,Abarelix,leuprolide
C0004238,nifedipine,carvedilol,propafenone,dronedarone,verapamil,trimebutine,vernakalant,flecainide,cinchocaine,Valproic Acid
C0024117,,Acetohydroxamic Acid,dextromethorphan,glucosamine,aspirin,Thalidomide,Filgrastim,triflusal,NADH,zinc
C0085083,,,Follicle Stimulating Hormone,Choriogonadotropin alfa,Lutropin alfa,,selexipag,goserelin-acetate,Buserelin,promazine
C0005697,carvedilol,,pentamidine,icosapent,Glutathione,Rosiglitazone,menadione,coumarin,,Phenol
C0001618,aspirin,fulvestrant,Arsenic trioxide,ospemifene,fostamatinib,hyaluronidase (ovine),,bazedoxifene,Methyltestosterone,norgestimate
C0154143,pinaverium,etizolam,zolpidem,Zopiclone,etifoxine,APROBARBITAL,barbital,Butethal,Amobarbital,Methylphenobarbital
C0040136,regorafenib,sorafenib,Polaprezinc,ponatinib,imatinib,aspirin,sunitinib,Arsenic trioxide,lenalidomide,pomalidomide
C0024473,deslanoside,cyclothiazide,,MAGNESIUM,almitrine,bretylium,Digitoxin,,digoxin,MAGNESIUM ACETATE
C0020615,NADH,zonisamide,ethoxzolamide,brinzolamide,coenzyme Q10,Biotin,L-Isoleucine,zinc,Glutathione,Adenosine monophosphate
C0024301,cyanocobalamin,floxuridine,,Trifluridine,doxifluridine,leucovorin,carmofur,capecitabine,pemetrexed,trimethoprim
C0079774,doxycycline,azacitidine,decitabine,bosutinib,dasatinib,Abatacept,ponatinib,fostamatinib,nilotinib,nintedanib
C0019080,menadione,CONESTAT ALFA,Urokinase,dicoumarol,NAFAMOSTAT,6-Aminocaproic Acid,loperamide,eptifibatide,,tirofiban
C2937421,finasteride,,Azelaic Acid,dutasteride,anastrozole,testolactone,exemestane,letrozole,tenofovir-disoproxil,fluconazole
C0034885,Necitumumab,gefitinib,erlotinib,pemetrexed,gemcitabine,fostamatinib,,ospemifene,fulvestrant,bazedoxifene
C0236964,,thiethylperazine,,prochlorperazine,droperidol,levodopa,olopatadine,rotigotine,piribedil,benperidol
C0004775,azosemide,piretanide,torasemide,etacrynic-acid,furosemide,bumetanide,potassium chloride,quinethazone,methyclothiazide,bendroflumethiazide
C0010072,eptifibatide,tirofiban,Abciximab,halofuginone,dantrolene,tiludronate,vedolizumab,Ramucirumab,resveratrol,tetracycline
C0085096,methoxsalen,simeprevir,tenofovir-disoproxil,tolperisone,Estrone,dihydrotestosterone,Isoniazid,norgestrel,finasteride,fluconazole
C0007095,regorafenib,glucosamine,SUCROSE,Pseudoephedrine,hyaluronidase (ovine),sirolimus,sorafenib,fostamatinib,minocycline,Arsenic trioxide
C0024894,ketoprofen,Buprenorphine,triflupromazine,flavoxate,,dicycloverine,Anisotropine Methylbromide,profenamine,imidafenacin,dimetindene
C0022573,Heparin,Bemiparin,Fondaparinux,Enoxaparin,Sulodexide,Danaparoid,Antithrombin III,Tranexamic Acid,Streptokinase,Reteplase
C0028738,NADH,fostamatinib,Adenosine monophosphate,Theophylline,triflusal,caffeine,fulvestrant,colchicine,,vemurafenib
C0039621,hydroflumethiazide,quinethazone,bendroflumethiazide,trichlormethiazide,chlorthalidone,methyclothiazide,bumetanide,potassium chloride,furosemide,etacrynic-acid
C0004239,aprindine,cinchocaine,procainamide,mexiletine,vernakalant,dyclonine,ranolazine,flecainide,fosphenytoin,
C0037036,ouabain,deslanoside,NADH,fostamatinib,fulvestrant,aspirin,secukinumab,clodronic-acid,,fingolimod
C0278996,,daratumumab,,Oprelvekin,meclizine,pheniramine,troleandomycin,rifaximin,,loperamide
C1336708,lenvatinib,pazopanib,ponatinib,tiludronate,nintedanib,palifermin,halofuginone,sorafenib,sunitinib,imatinib
C1527304,Ecothiopate,demecarium,resveratrol,rivastigmine,tacrine,edrophonium,bambuterol,pralidoxime,,insulin human
C0011581,fostamatinib,Ethanol,haloperidol,Adenosine monophosphate,Ergoloid mesylate,DIHYDROERGOCRISTINE,insulin human,zinc,chlorpromazine,DIHYDROERGOCORNINE
C0270851,meclofenamic-acid,retigabine,diclofenac,,ivabradine,dalfampridine,cinchocaine,aprindine,flunarizine,Theobromine
C0034067,Acetohydroxamic Acid,,glucosamine,captopril,minocycline,Filgrastim,halofuginone,tiludronate,fenofibrate,pirfenidone
C0311277,caffeine,aurothioglucose,trapidil,isosorbide-dinitrate,molsidomine,isosorbide-mononitrate,riociguat,tadalafil,propentofylline,mirodenafil
C0030567,Polaprezinc,Mecasermin,Glutathione,fostamatinib,Amphetamine,zinc,Methamphetamine,podophyllotoxin,Insulin Glargine,Insulin Lispro
C0271568,Pegvisomant,Somatropin recombinant,PEGINESATIDE,Darbepoetin alfa,Erythropoietin,METHOXY POLYETHYLENE GLYCOL-EPOETIN BETA,estramustine,sunitinib,dasatinib,
C0012739,Kappadione,Sodium Tetradecyl Sulfate,,,Coagulation Factor IX,,menadione,Coagulation factor VIIa Recombinant Human,cupric chloride,ANTITHROMBIN ALFA
C0009319,glucosamine,mesalazine,Polaprezinc,minocycline,diacerein,apremilast,golimumab,Certolizumab pegol,Infliximab,pirfenidone
C0027796,rufinamide,abiraterone,cyclandelate,nisoldipine,nifedipine,isradipine,diltiazem,Magnesium Sulfate,amlodipine,naloxone
C0010674,triamterene,amiloride,ivacaftor,tezacaftor,lumacaftor,capsaicin,CROFELEMER,hyaluronidase (ovine),Dexibuprofen,bumetanide
C0271578,goserelin-acetate,Buserelin,gestrinone,danazol,gonadorelin,ganirelix,triptorelin,Histrelin,Abarelix,Nafarelin
C1849508,NADH,toloxatone,pargyline,isocarboxazid,,,linezolid,selegiline,procarbazine,moclobemide
C0039590,ospemifene,Polaprezinc,fulvestrant,,Arsenic trioxide,glucosamine,quinestrol,aspirin,doxorubicin,Conjugated Estrogens
C0040053,,Kappadione,menadione,Heparin,,MOROCTOCOG ALFA,TUROCTOCOG ALFA,amrinone,Coagulation Factor IX,
C0013386,prochlorperazine,,levodopa,flupentixol,rotigotine,pimozide,pipamperone,pramipexole,ropinirole,Apomorphine
C0034063,aspirin,dabrafenib,fostamatinib,estramustine,Adenosine monophosphate,L-Glutamic Acid,dacarbazine,Diethylstilbestrol,estradiol cypionate,metformin
C0021308,,L-Isoleucine,,topiroxostat,N-Acetyl-D-glucosamine,allopurinol,febuxostat,L-Valine,carfilzomib,TUROCTOCOG ALFA
C0270458,phentermine,Benzphetamine,mazindol,dextroamphetamine,duloxetine,clomipramine,Methamphetamine,minaprine,Amphetamine,Nefazodone
C0015456,Oprelvekin,pyridoxal,pyridoxine,thiotepa,tesamorelin,Sermorelin,SIMOCTOCOG ALFA,rifapentine,pentolinium,levallorphan
C0002894,,loperamide,ketoconazole,doxylamine,zinc,Acetohydroxamic Acid,Iron,Oxygen,meclizine,isoflurophate
C0002880,cladribine,fludarabine,pentostatin,aldesleukin,Denileukin diftitox,,,Theobromine,Defibrotide,fostamatinib
C0026705,N-Acetyl-D-glucosamine,bleomycin,hydralazine,trimetazidine,Glutathione,L-Isoleucine,carmustine,NADH,cobimetinib,pantoprazole
C0023480,nilotinib,Becaplermin,imatinib,sunitinib,pazopanib,sorafenib,regorafenib,lenvatinib,Polaprezinc,dasatinib
C0342788,levocarnitine,L-Lysine,,trientine,acenocoumarol,phenindione,phenprocoumon,sulfasalazine,droxicam,
C0029191,,naloxone,paclitaxel,,isoflurophate,Thalidomide,zinc,dipivefrine,bambuterol,amiodarone
C0023443,vemurafenib,cobimetinib,trametinib,dabrafenib,sorafenib,regorafenib,bosutinib,fostamatinib,homoharringtonine,Testosterone Propionate
C0003962,aspirin,,,,,MOROCTOCOG ALFA,fostamatinib,,THROMBIN ALFA,THROMBOMODULIN ALFA
C0024305,raltitrexed,floxuridine,leucovorin,,capecitabine,doxifluridine,carmofur,Trifluridine,pralatrexate,trimethoprim
C0151942,Romiplostim,eltrombopag,Sodium Tetradecyl Sulfate,Kappadione,,,tofacitinib,baricitinib,,ruxolitinib
C0013595,dextromethorphan,zinc,fostamatinib,NADH,cholic-acid,"insulin, neutral",Biotin,podophyllotoxin,belinostat,L-Aspartic Acid
C0031046,fostamatinib,fulvestrant,Arsenic trioxide,ospemifene,Necitumumab,,dimethyl-fumarate,gefitinib,bazedoxifene,aspirin
C0035220,NAFAMOSTAT,cyclandelate,acenocoumarol,felodipine,Heroin,phenindione,Dextropropoxyphene,phenprocoumon,bepridil,levosimendan
C0004943,simvastatin,Tenecteplase,Anistreplase,Reteplase,Alteplase,,Natalizumab,naloxone,NAFAMOSTAT,Urokinase
C0016412,dapsone,Trimetrexate,methotrexate,trimethoprim,pralatrexate,Gentamicins,pemetrexed,raltitrexed,carmofur,floxuridine
C0687150,mebendazole,colchicine,fulvestrant,vincristine,podophyllotoxin,ixabepilone,Rifabutin,clodronic-acid,vinorelbine,vindesine
C0702166,NADH,glycolic acid,Thalidomide,palifermin,ponatinib,nintedanib,regorafenib,naloxone,lenvatinib,ospemifene
C0023481,Filgrastim,sulfasalazine,flumethasone,prednicarbate,desoximetasone,desonide,clobetasol-propionate,niflumic-acid,sargramostim,homoharringtonine
C0035585,estramustine,ivabradine,cyanocobalamin,cyclobenzaprine,Salmon Calcitonin,Ranibizumab,Pegaptanib,fostamatinib,ripasudil,Hydroxocobalamin
C0700201,thiotepa,pyridoxine,pyridoxal,tesamorelin,Oprelvekin,Sermorelin,rifapentine,pentolinium,daratumumab,levallorphan
C1527249,Oxygen,cholic-acid,vemurafenib,sorafenib,dabrafenib,urea,idelalisib,copanlisib,regorafenib,fulvestrant
C0002895,leflunomide,atovaquone,teriflunomide,sodium ferric gluconate complex,IRON DEXTRAN,carvedilol,Oxygen,Thalidomide,oxymetholone,L-Aspartic Acid
C0037769,Valproic Acid,eslicarbazepine-acetate,tetracaine,lidocaine,carbamazepine,rufinamide,riluzole,phenytoin,ethotoin,mephenytoin
C0085681,Adenosine monophosphate,amlexanox,Theophylline,apremilast,tetracaine,dantrolene,doxofylline,caffeine,iloprost,ibudilast
C0023052,CONESTAT ALFA,Urokinase,Etanercept,TUROCTOCOG ALFA,6-Aminocaproic Acid,Abciximab,Tenecteplase,NAFAMOSTAT,Cetuximab,trastuzumab
C0014173,SUCROSE,PORFIMER SODIUM,dacarbazine,sodium ferric gluconate complex,Omega-3-carboxylic acids,,fingolimod,IRON DEXTRAN,fulvestrant,ouabain
C0751674,fostamatinib,romidepsin,regorafenib,estradiol cypionate,tretinoin,belinostat,estradiol,panobinostat,vorinostat,Mecasermin
C0020598,miglitol,voglibose,L-Cystine,scopolamine,acarbose,dasatinib,fostamatinib,loperamide,L-Phenylalanine,Adenosine monophosphate
C0001973,amoxapine,Ethanol,olanzapine,Midazolam,oxazepam,Halazepam,Flurazepam,diazepam,Temazepam,Nitrazepam
C0027022,ponatinib,pazopanib,regorafenib,nintedanib,imatinib,sunitinib,dasatinib,sorafenib,bosutinib,Becaplermin
C0005283,leflunomide,atovaquone,teriflunomide,IRON DEXTRAN,sodium ferric gluconate complex,Iron,Oxygen,Sucroferric Oxyhydroxide,L-Aspartic Acid,zinc
C0524910,Oxycodone,Thalidomide,Sucroferric Oxyhydroxide,Iron,sodium ferric gluconate complex,lidocaine,disopyramide,amsacrine,IRON DEXTRAN,CONESTAT ALFA
C0040046,,Sodium Tetradecyl Sulfate,Kappadione,,,Arsenic trioxide,menadione,fostamatinib,fulvestrant,podophyllotoxin
C0004604,nitisinone,6-Aminocaproic Acid,CONESTAT ALFA,Urokinase,Dexibuprofen,ibuprofen,L-Phenylalanine,MOROCTOCOG ALFA,,Tenecteplase
C0149704,Rilonacept,Streptokinase,Tranexamic Acid,6-Aminocaproic Acid,Reteplase,Anistreplase,Alteplase,Aprotinin,Urokinase,Tenecteplase
C0042109,omalizumab,ponatinib,regorafenib,mesalazine,pazopanib,minocycline,imatinib,"insulin, neutral",sunitinib,glucosamine
C0018213,etizolam,zolpidem,etifoxine,Zopiclone,Butethal,calcitriol,APROBARBITAL,Amobarbital,barbital,Methylphenobarbital
C0080274,etizolam,zolpidem,glutamine-(l),tetracycline,mercaptopurine,azathioprine,Zopiclone,etifoxine,barbital,APROBARBITAL
C0162568,tiagabine,oxymetholone,glucosamine,Treprostinil,carvedilol,amlexanox,aldesleukin,Denileukin diftitox,minocycline,galantamine
C0025637,sodium ferric gluconate complex,IRON DEXTRAN,CHROMIUM,Isoniazid,Nafcillin,simeprevir,tenofovir-disoproxil,telithromycin,Oxygen,Ritonavir
C0013144,ouabain,loperamide,liothyronine,repaglinide,amiodarone,levothyroxine,Dextrothyroxine,nateglinide,glipizide,mitiglinide
C0007131,Rituximab,Ibritumomab tiuxetan,Tositumomab,fostamatinib,ofatumumab,ocrelizumab,obinutuzumab,zinc,regorafenib,aspirin
C0150055,NADH,colchicine,vinorelbine,MAGNESIUM,,ixabepilone,digoxin,almitrine,bretylium,MAGNESIUM ACETATE
C0026896,Oxycodone,Sucroferric Oxyhydroxide,Thalidomide,Iron,lidocaine,disopyramide,sodium ferric gluconate complex,amsacrine,IRON DEXTRAN,zinc
C0020217,cupric chloride,,Ximelagatran,Lepirudin,bivalirudin,,,CONESTAT ALFA,pirfenidone,Monoethanolamine oleate
C0011633,glucosamine,Rilonacept,,pirfenidone,Certolizumab pegol,Infliximab,golimumab,chloroquine,lenalidomide,pomalidomide
C0473527,amiodarone,clinofibrate,mesalazine,Lobeglitazone,fenofibrate,bezafibrate,balsalazide,Rosiglitazone,fenofibric-acid,icosapent
C0259817,,fostamatinib,regorafenib,bosutinib,NADH,Arsenic trioxide,ospemifene,fulvestrant,nandrolone,sorafenib
C0015469,lenalidomide,Denosumab,quinidine,ibutilide,sulfinpyrazone,adenosine,N-Acetyl-D-glucosamine,Sucroferric Oxyhydroxide,L-Lysine,thiocolchicoside
C0022548,zinc,IRON DEXTRAN,zaleplon,amsacrine,norelgestromin,fostamatinib,Iron,Tenecteplase,Phenol,
C0027430,fostamatinib,MOROCTOCOG ALFA,pazopanib,bosutinib,,Polaprezinc,icosapent,,aspirin,regorafenib
C0027424,palifermin,lenvatinib,nintedanib,pazopanib,sunitinib,ponatinib,sorafenib,Heparin,regorafenib,carvedilol
C0022951,miglitol,voglibose,acarbose,scopolamine,velaglucerase alfa,L-Cystine,Vitamin C,N-Acetyl-D-glucosamine,L-Phenylalanine,cytarabine
C0206693,cabozantinib,imatinib,sunitinib,sorafenib,ponatinib,regorafenib,vandetanib,Tromethamine,fostamatinib,oxymetholone
C0014549,physostigmine,Polaprezinc,isoflurophate,tacrine,dipivefrine,edrophonium,demecarium,rivastigmine,pralidoxime,
C0033860,zinc,,aspirin,Polaprezinc,fostamatinib,glucosamine,Thalidomide,Etanercept,minocycline,Adalimumab
C0042900,pazopanib,"MSH, 4-Nle-7-Phe-alpha-",fostamatinib,,ponatinib,,regorafenib,dasatinib,nintedanib,bosutinib
C0023440,leflunomide,atovaquone,teriflunomide,profenamine,Biotin,,L-Aspartic Acid,memantine,magnesium carbonate,orphenadrine
C0035222,Heparin,Bemiparin,Fondaparinux,Enoxaparin,Sulodexide,Danaparoid,Antithrombin III,TUROCTOCOG ALFA,Tranexamic Acid,
C0740394,fenoprofen,ketoprofen,droxicam,,balsalazide,meloxicam,tenoxicam,etofenamate,oxaprozin,acemetacin
C2316212,sacubitril,racecadotril,,MOROCTOCOG ALFA,vincristine,podophyllotoxin,Cetuximab,efalizumab,Bevacizumab,fostamatinib
C0151940,Follicle Stimulating Hormone,Choriogonadotropin alfa,Omega-3-carboxylic acids,,Lutropin alfa,goserelin-acetate,Buserelin,fostamatinib,propylhexedrine,isoprenaline
C0035579,Glycine,Teriparatide,alfacalcidol,calcipotriol,dihydrotachysterol,ergocalciferol,PARATHYROID HORMONE,paricalcitol,,Calcidiol
C0019087,regorafenib,sorafenib,dabrafenib,fostamatinib,vemurafenib,ponatinib,Ecothiopate,podophyllotoxin,fulvestrant,
C0079773,aspirin,dasatinib,regorafenib,tamoxifen,isosorbide,sorafenib,fostamatinib,glucosamine,vemurafenib,Arsenic trioxide
C0027627,fostamatinib,zinc,amitriptyline,asenapine,dasatinib,Polaprezinc,fulvestrant,loxapine,doxepin,ospemifene
C0008149,golimumab,Infliximab,Certolizumab pegol,pirfenidone,glucosamine,pomalidomide,amrinone,apremilast,lenalidomide,clenbuterol
C0001623,loperamide,mitotane,benralizumab,aminoglutethimide,mesalazine,Nafcillin,etodolac,sulindac,balsalazide,sarilumab
C0206686,podophyllotoxin,insulin human,"insulin, neutral",regorafenib,Necitumumab,gefitinib,dactinomycin,Mecasermin,sorafenib,erlotinib
C0334634,Arsenic trioxide,,everolimus,temsirolimus,pimecrolimus,copanlisib,idelalisib,sirolimus,Lithium,urea
C0029434,Collagenase clostridium histolyticum,halofuginone,Vitamin C,Succinic acid,Urokinase,SUCROSE,palifermin,,Tenecteplase,MOROCTOCOG ALFA
C0032000,fostamatinib,Arsenic trioxide,aspirin,bosutinib,regorafenib,fulvestrant,podophyllotoxin,,Mecasermin,insulin human
C0022575,doxycycline,,L-Arginine,L-Ornithine,L-Lysine,diazoxide,NADH,fulvestrant,minoxidil,ospemifene
C0029408,NADH,Collagenase clostridium histolyticum,MOROCTOCOG ALFA,,zinc,fostamatinib,aspirin,fulvestrant,Tenecteplase,podophyllotoxin
C0005684,palifermin,lenvatinib,nintedanib,pazopanib,ponatinib,Heparin,regorafenib,fostamatinib,Thalidomide,sunitinib
C0024138,dextromethorphan,CONESTAT ALFA,palivizumab,Bevacizumab,efalizumab,Alemtuzumab,alefacept,Gemtuzumab ozogamicin,Adalimumab,Cetuximab
C0221013,nilotinib,imatinib,lenvatinib,sunitinib,pazopanib,sorafenib,ponatinib,regorafenib,dacarbazine,dasatinib
C1704417,,L-Arginine,L-Ornithine,L-Lysine,alendronate,ethinamate,norepinephrine,methocarbamol,Methamphetamine,reserpine
C0003578,Biotin,MOROCTOCOG ALFA,,fostamatinib,vindesine,Eribulin,colchicine,Tenecteplase,fulvestrant,insulin human
C0014038,ibrutinib,cisplatin,dasatinib,fostamatinib,bosutinib,panobinostat,romidepsin,regorafenib,belinostat,Arsenic trioxide
C0017531,Siltuximab,GINSENG,Polaprezinc,ibudilast,Tocilizumab,Canakinumab,Rilonacept,Ranibizumab,Hydroxychloroquine,Pseudoephedrine
C0042487,Heparin,Fondaparinux,Enoxaparin,Bemiparin,edoxaban,apixaban,rivaroxaban,Sulodexide,Danaparoid,Antithrombin III
